Order ID,Pizza Type,Turtle,Quantity,Price,Order Date,Delivery Location
ORD-00073,Pepperoni,Michelangelo,4,13.91,2024-07-17,Sewer Lair
ORD-00074,Supreme,Leonardo,5,22.8,2024-04-27,April's Apartment
ORD-00075,Meat Lovers,Leonardo,2,20.56,2023-10-15,Rooftop
ORD-00076,Veggie,Raphael,2,21.14,2023-11-11,Central Park
ORD-00077,Pepperoni,Raphael,5,22.31,2023-08-30,April's Apartment
ORD-00078,Cheese,Donatello,5,12.11,2024-02-09,Central Park
ORD-00079,Veggie,Raphael,1,21.77,2024-06-11,Sewer Lair
ORD-00080,Pepperoni,Leonardo,2,14.96,2023-12-08,Central Park
ORD-00081,Hawaiian,Leonardo,2,21.04,2024-06-29,Rooftop
ORD-00082,Supreme,Raphael,2,23.12,2024-01-08,April's Apartment
ORD-00083,Pepperoni,Leonardo,4,14.5,2023-08-13,April's Apartment
ORD-00084,Cheese,Leonardo,1,11.7,2023-09-07,Sewer Lair
ORD-00085,Supreme,Donatello,2,17.86,2023-10-22,Sewer Lair
ORD-00086,Pepperoni,Donatello,2,13.71,2024-03-20,April's Apartment
ORD-00087,Hawaiian,Leonardo,4,17.02,2024-01-20,Central Park
ORD-00088,Cheese,Michelangelo,4,13.6,2024-05-01,Rooftop
ORD-00089,Pepperoni,Michelangelo,2,24.43,2024-01-30,April's Apartment
ORD-00090,Meat Lovers,Donatello,3,23.24,2023-10-08,Central Park
ORD-00091,Meat Lovers,Raphael,5,18.46,2024-03-13,April's Apartment
ORD-00092,Veggie,Michelangelo,3,12.09,2024-05-22,Central Park
ORD-00093,Pepperoni,Donatello,5,15.39,2024-07-12,Rooftop
ORD-00094,Cheese,Leonardo,1,22.57,2024-01-22,Central Park
ORD-00095,Supreme,Donatello,5,14.4,2024-07-01,Sewer Lair
ORD-00096,Veggie,Michelangelo,4,18.86,2023-10-11,Rooftop
ORD-00097,Pepperoni,Donatello,2,17.94,2024-01-14,Rooftop
ORD-00098,Meat Lovers,Michelangelo,1,24.0,2024-03-16,Sewer Lair
ORD-00099,Meat Lovers,Leonardo,1,22.15,2024-06-18,Central Park
ORD-00100,Cheese,Donatello,4,13.77,2024-04-14,April's Apartment
ORD-00101,Meat Lovers,Leonardo,3,23.06,2024-03-08,Rooftop
ORD-00102,Supreme,Raphael,5,24.37,2023-11-29,April's Apartment
ORD-00103,Cheese,Raphael,2,24.14,2024-05-27,Rooftop
ORD-00104,Supreme,Michelangelo,3,12.24,2024-04-05,Sewer Lair
ORD-00105,Meat Lovers,Michelangelo,5,22.42,2023-12-16,Rooftop
ORD-00106,Supreme,Michelangelo,4,24.27,2023-12-10,Rooftop
ORD-00107,Cheese,Leonardo,2,20.39,2024-05-21,Rooftop
ORD-00108,Hawaiian,Leonardo,3,23.0,2024-04-05,April's Apartment
ORD-00109,Pepperoni,Raphael,4,21.54,2023-11-09,Sewer Lair
ORD-00110,Meat Lovers,Michelangelo,4,10.12,2024-05-14,Sewer Lair
ORD-00111,Veggie,Leonardo,3,22.32,2023-12-13,Rooftop
ORD-00112,Veggie,Raphael,2,20.29,2023-12-25,Rooftop
ORD-00113,Supreme,Donatello,1,18.21,2023-08-08,Sewer Lair
ORD-00114,Veggie,Leonardo,4,20.55,2024-02-10,April's Apartment
ORD-00115,Meat Lovers,Raphael,1,11.78,2024-07-04,April's Apartment
ORD-00116,Hawaiian,Raphael,1,22.05,2024-05-31,April's Apartment
ORD-00117,Veggie,Leonardo,4,17.13,2023-11-15,Sewer Lair
ORD-00118,Meat Lovers,Michelangelo,1,19.05,2024-04-27,Rooftop
ORD-00119,Veggie,Raphael,4,10.99,2024-03-10,April's Apartment
ORD-00120,Supreme,Michelangelo,2,14.54,2024-04-06,Central Park
ORD-00121,Veggie,Michelangelo,2,18.53,2023-11-11,Rooftop
ORD-00122,Pepperoni,Donatello,4,21.85,2023-12-22,Sewer Lair
ORD-00123,Supreme,Donatello,3,24.57,2024-03-01,Central Park
ORD-00124,Veggie,Leonardo,1,17.74,2024-02-11,Rooftop
ORD-00125,Pepperoni,Donatello,1,22.98,2024-04-10,Central Park
ORD-00126,Veggie,Michelangelo,3,16.07,2023-08-16,Sewer Lair
ORD-00127,Cheese,Leonardo,3,21.78,2023-12-20,Central Park
ORD-00128,Veggie,Raphael,1,11.89,2024-05-22,April's Apartment
ORD-00129,Veggie,Michelangelo,5,12.75,2024-02-27,Sewer Lair
ORD-00130,Hawaiian,Donatello,3,11.29,2024-05-21,April's Apartment
ORD-00131,Veggie,Leonardo,4,21.97,2024-05-22,Sewer Lair
ORD-00132,Veggie,Donatello,5,22.28,2023-09-02,Central Park
ORD-00133,Pepperoni,Michelangelo,4,15.21,2024-07-02,Sewer Lair
ORD-00134,Hawaiian,Raphael,5,21.96,2024-01-05,April's Apartment
ORD-00135,Pepperoni,Donatello,5,11.6,2024-05-03,Rooftop
ORD-00136,Supreme,Leonardo,3,19.54,2024-04-24,Rooftop
ORD-00137,Cheese,Leonardo,5,13.7,2023-12-28,Sewer Lair
ORD-00138,Cheese,Donatello,3,18.3,2023-11-24,April's Apartment
ORD-00139,Pepperoni,Donatello,5,10.1,2024-06-29,Sewer Lair
ORD-00140,Cheese,Raphael,4,15.6,2023-11-12,Central Park
ORD-00141,Meat Lovers,Leonardo,2,14.2,2024-05-11,Central Park
ORD-00142,Pepperoni,Michelangelo,2,17.77,2023-10-21,Central Park
ORD-00143,Veggie,Michelangelo,4,24.44,2023-10-07,Rooftop
ORD-00144,Hawaiian,Raphael,2,23.29,2023-10-12,April's Apartment
ORD-00145,Cheese,Michelangelo,3,21.54,2023-08-27,April's Apartment
ORD-00146,Cheese,Michelangelo,1,23.8,2023-08-11,Rooftop
ORD-00147,Veggie,Leonardo,5,18.92,2024-03-02,Rooftop
ORD-00148,Meat Lovers,Leonardo,2,12.23,2024-06-12,Rooftop
ORD-00149,Veggie,Raphael,2,15.73,2023-09-27,Rooftop
ORD-00150,Veggie,Raphael,3,14.63,2024-03-05,Sewer Lair
ORD-00151,Hawaiian,Raphael,5,23.96,2024-06-27,April's Apartment
ORD-00152,Pepperoni,Raphael,2,14.42,2024-05-21,Sewer Lair
ORD-00153,Meat Lovers,Donatello,1,24.2,2024-07-06,Central Park
ORD-00154,Cheese,Donatello,5,20.98,2024-06-18,April's Apartment
ORD-00155,Pepperoni,Donatello,5,21.45,2024-05-22,April's Apartment
ORD-00156,Meat Lovers,Raphael,1,19.92,2024-02-26,Rooftop
ORD-00157,Pepperoni,Donatello,4,22.34,2024-07-28,Rooftop
ORD-00158,Hawaiian,Michelangelo,1,21.4,2024-05-29,April's Apartment
ORD-00159,Meat Lovers,Donatello,5,15.48,2023-12-24,Sewer Lair
ORD-00160,Meat Lovers,Leonardo,1,17.39,2024-07-11,Sewer Lair
ORD-00161,Veggie,Donatello,3,19.43,2024-06-17,Sewer Lair
ORD-00162,Pepperoni,Donatello,5,23.03,2024-05-30,April's Apartment
ORD-00163,Cheese,Michelangelo,3,20.52,2023-08-07,Sewer Lair
ORD-00164,Supreme,Michelangelo,3,22.04,2024-01-05,Sewer Lair
ORD-00165,Hawaiian,Michelangelo,5,16.4,2024-04-21,Central Park
ORD-00166,Pepperoni,Leonardo,1,22.6,2023-08-14,April's Apartment
ORD-00167,Supreme,Leonardo,5,17.21,2023-11-02,Sewer Lair
ORD-00168,Pepperoni,Donatello,5,15.32,2024-02-12,Central Park
ORD-00169,Cheese,Leonardo,5,20.71,2024-05-27,April's Apartment
ORD-00170,Meat Lovers,Raphael,4,20.76,2024-07-21,Sewer Lair
ORD-00171,Cheese,Leonardo,5,10.19,2023-08-25,Central Park
ORD-00172,Pepperoni,Michelangelo,2,19.71,2024-04-25,Rooftop
ORD-00173,Supreme,Donatello,4,17.68,2023-10-21,Sewer Lair
ORD-00174,Supreme,Leonardo,4,19.01,2024-04-26,Central Park
ORD-00175,Veggie,Michelangelo,1,21.19,2024-03-13,Central Park
ORD-00176,Veggie,Michelangelo,4,20.11,2023-10-03,Rooftop
ORD-00177,Hawaiian,Michelangelo,1,12.59,2023-08-02,April's Apartment
ORD-00178,Cheese,Donatello,3,14.92,2023-10-25,Rooftop
ORD-00179,Supreme,Leonardo,3,10.57,2024-06-12,Rooftop
ORD-00180,Cheese,Michelangelo,1,15.8,2024-03-08,Sewer Lair
ORD-00181,Veggie,Leonardo,2,10.94,2024-04-10,Rooftop
ORD-00182,Meat Lovers,Donatello,4,23.37,2024-05-21,Rooftop
ORD-00183,Hawaiian,Donatello,4,22.48,2024-04-06,Sewer Lair
ORD-00184,Hawaiian,Donatello,2,16.86,2023-10-20,April's Apartment
ORD-00185,Cheese,Leonardo,1,22.01,2024-03-31,Sewer Lair
ORD-00186,Veggie,Michelangelo,5,22.95,2024-03-11,April's Apartment
ORD-00187,Meat Lovers,Leonardo,4,22.95,2023-10-20,April's Apartment
ORD-00188,Cheese,Leonardo,5,13.42,2023-11-04,April's Apartment
ORD-00189,Supreme,Michelangelo,2,14.82,2023-08-31,Central Park
ORD-00190,Veggie,Raphael,3,22.67,2023-08-01,Central Park
ORD-00191,Veggie,Donatello,1,14.29,2024-07-26,Sewer Lair
ORD-00192,Cheese,Michelangelo,2,16.58,2024-04-28,Rooftop
ORD-00193,Cheese,Raphael,1,12.6,2024-03-18,Rooftop
ORD-00194,Cheese,Donatello,2,17.41,2023-12-29,April's Apartment
ORD-00195,Hawaiian,Leonardo,3,10.96,2024-02-24,Central Park
ORD-00196,Pepperoni,Leonardo,1,20.83,2023-09-14,Sewer Lair
ORD-00197,Pepperoni,Donatello,1,21.88,2023-10-01,Central Park
ORD-00198,Meat Lovers,Leonardo,4,22.67,2024-07-08,Rooftop
ORD-00199,Hawaiian,Michelangelo,2,12.49,2024-03-12,Sewer Lair
ORD-00200,Cheese,Donatello,5,11.19,2023-11-18,April's Apartment
ORD-00201,Hawaiian,Leonardo,4,18.81,2024-04-13,Sewer Lair
ORD-00202,Supreme,Michelangelo,1,23.14,2024-01-06,Sewer Lair
ORD-00203,Veggie,Michelangelo,3,11.38,2024-06-08,Central Park
ORD-00204,Veggie,Michelangelo,5,20.89,2023-08-30,Sewer Lair
ORD-00205,Veggie,Michelangelo,4,19.63,2023-10-04,Sewer Lair
ORD-00206,Hawaiian,Raphael,5,23.82,2023-11-15,Sewer Lair
ORD-00207,Pepperoni,Raphael,2,12.1,2024-04-22,Central Park
ORD-00208,Veggie,Michelangelo,5,16.81,2023-09-18,April's Apartment
ORD-00209,Supreme,Raphael,1,12.09,2024-06-17,April's Apartment
ORD-00210,Veggie,Donatello,5,23.18,2023-12-18,Rooftop
ORD-00211,Supreme,Michelangelo,4,13.04,2024-01-13,Sewer Lair
ORD-00212,Veggie,Michelangelo,5,14.15,2024-07-30,Rooftop
ORD-00213,Cheese,Donatello,1,11.65,2024-01-30,Sewer Lair
ORD-00214,Pepperoni,Leonardo,4,10.74,2023-12-05,Central Park
ORD-00215,Supreme,Raphael,4,16.27,2023-10-13,April's Apartment
ORD-00216,Cheese,Donatello,5,22.04,2024-01-17,Central Park
ORD-00217,Meat Lovers,Raphael,2,24.51,2024-01-26,Rooftop
ORD-00218,Meat Lovers,Leonardo,4,20.65,2023-11-09,Sewer Lair
ORD-00219,Supreme,Raphael,4,11.95,2024-04-03,Rooftop
ORD-00220,Supreme,Donatello,3,19.92,2024-04-06,Sewer Lair
ORD-00221,Veggie,Donatello,4,12.01,2024-02-29,Sewer Lair
ORD-00222,Meat Lovers,Donatello,5,21.47,2024-07-07,Central Park
ORD-00223,Veggie,Raphael,1,22.85,2024-06-20,April's Apartment
ORD-00224,Pepperoni,Donatello,4,18.27,2024-04-26,Central Park
ORD-00225,Cheese,Leonardo,1,23.62,2023-12-02,April's Apartment
ORD-00226,Hawaiian,Raphael,2,10.78,2024-07-24,Rooftop
ORD-00227,Meat Lovers,Raphael,1,15.71,2024-02-29,April's Apartment
ORD-00228,Pepperoni,Michelangelo,4,24.11,2024-07-15,Sewer Lair
ORD-00229,Hawaiian,Donatello,1,13.98,2024-06-10,Sewer Lair
ORD-00230,Veggie,Michelangelo,2,22.55,2023-09-19,Central Park
ORD-00231,Pepperoni,Raphael,5,13.41,2024-02-02,Rooftop
ORD-00232,Meat Lovers,Donatello,1,16.03,2024-04-30,April's Apartment
ORD-00233,Supreme,Michelangelo,4,13.05,2023-10-28,Sewer Lair
ORD-00234,Supreme,Raphael,2,15.37,2024-01-03,Central Park
ORD-00235,Pepperoni,Donatello,2,22.41,2024-07-12,Central Park
ORD-00236,Hawaiian,Raphael,2,18.9,2024-01-31,Sewer Lair
ORD-00237,Meat Lovers,Michelangelo,5,19.06,2024-03-22,Central Park
ORD-00238,Hawaiian,Leonardo,1,15.34,2023-12-22,April's Apartment
ORD-00239,Cheese,Leonardo,5,24.96,2023-11-01,Sewer Lair
ORD-00240,Pepperoni,Donatello,1,17.85,2023-12-22,Rooftop
ORD-00241,Supreme,Leonardo,5,14.71,2023-12-13,Rooftop
ORD-00242,Supreme,Michelangelo,3,24.16,2024-04-08,Rooftop
ORD-00243,Cheese,Donatello,1,14.75,2024-05-19,April's Apartment
ORD-00244,Supreme,Donatello,5,22.73,2024-01-06,April's Apartment
ORD-00245,Pepperoni,Donatello,2,20.38,2023-09-21,Sewer Lair
ORD-00246,Meat Lovers,Raphael,4,14.35,2024-02-15,April's Apartment
ORD-00247,Hawaiian,Leonardo,4,18.72,2023-12-18,Rooftop
ORD-00248,Pepperoni,Leonardo,3,19.46,2023-12-12,Central Park
ORD-00249,Cheese,Donatello,3,15.04,2023-08-04,Rooftop
ORD-00250,Veggie,Donatello,5,20.69,2024-02-05,Rooftop
ORD-00251,Veggie,Raphael,2,20.29,2023-10-19,Rooftop
ORD-00252,Hawaiian,Leonardo,4,17.21,2023-09-02,Rooftop
ORD-00253,Pepperoni,Raphael,3,12.03,2023-10-25,Central Park
ORD-00254,Meat Lovers,Donatello,3,22.48,2024-01-17,Sewer Lair
ORD-00255,Cheese,Raphael,3,12.3,2024-06-29,Rooftop
ORD-00256,Pepperoni,Donatello,3,19.43,2024-05-14,April's Apartment
ORD-00257,Hawaiian,Donatello,2,11.03,2023-09-24,Rooftop
ORD-00258,Hawaiian,Raphael,3,14.94,2024-07-12,Sewer Lair
ORD-00259,Cheese,Raphael,2,14.39,2024-01-10,Central Park
ORD-00260,Supreme,Leonardo,1,11.97,2023-08-15,Sewer Lair
ORD-00261,Hawaiian,Raphael,1,19.3,2023-11-09,April's Apartment
ORD-00262,Supreme,Leonardo,2,12.88,2024-04-01,Sewer Lair
ORD-00263,Cheese,Leonardo,2,22.1,2023-09-04,April's Apartment
ORD-00264,Meat Lovers,Donatello,3,14.42,2023-08-13,Central Park
ORD-00265,Hawaiian,Leonardo,2,14.07,2023-08-06,Sewer Lair
ORD-00266,Supreme,Leonardo,4,15.82,2023-08-10,Central Park
ORD-00267,Hawaiian,Raphael,5,18.65,2023-11-15,Central Park
ORD-00268,Pepperoni,Michelangelo,2,22.33,2024-07-02,April's Apartment
ORD-00269,Veggie,Michelangelo,3,11.14,2023-10-26,April's Apartment
ORD-00270,Veggie,Donatello,5,21.41,2023-10-07,Central Park
ORD-00271,Hawaiian,Leonardo,2,16.82,2024-07-09,Rooftop
ORD-00272,Hawaiian,Michelangelo,4,21.22,2024-04-22,Sewer Lair
ORD-00273,Meat Lovers,Michelangelo,3,20.4,2024-06-29,Central Park
ORD-00274,Pepperoni,Raphael,3,24.37,2024-04-29,Sewer Lair
ORD-00275,Cheese,Raphael,2,12.25,2024-02-20,Sewer Lair
ORD-00276,Hawaiian,Michelangelo,3,11.71,2023-09-10,Sewer Lair
ORD-00277,Meat Lovers,Raphael,1,19.9,2024-03-28,Rooftop
ORD-00278,Supreme,Raphael,5,16.16,2024-06-13,Central Park
ORD-00279,Veggie,Leonardo,2,10.39,2023-08-27,Rooftop
ORD-00280,Cheese,Donatello,4,23.47,2024-07-21,Sewer Lair
ORD-00281,Supreme,Leonardo,3,20.1,2024-07-02,Rooftop
ORD-00282,Hawaiian,Raphael,4,16.99,2024-05-24,Sewer Lair
ORD-00283,Veggie,Leonardo,4,22.12,2024-06-29,Central Park
ORD-00284,Supreme,Michelangelo,4,13.79,2024-07-08,Sewer Lair
ORD-00285,Veggie,Michelangelo,5,23.67,2024-07-15,Sewer Lair
ORD-00286,Supreme,Donatello,3,17.53,2023-08-10,Sewer Lair
ORD-00287,Hawaiian,Raphael,2,10.39,2024-03-31,Central Park
ORD-00288,Meat Lovers,Donatello,1,17.48,2023-11-13,Rooftop
ORD-00289,Hawaiian,Leonardo,5,24.82,2024-03-16,Sewer Lair
ORD-00290,Pepperoni,Donatello,4,22.24,2024-06-14,Rooftop
ORD-00291,Hawaiian,Michelangelo,2,19.55,2024-03-20,Sewer Lair
ORD-00292,Veggie,Raphael,3,21.69,2024-01-02,April's Apartment
ORD-00293,Cheese,Donatello,2,17.31,2023-11-25,Sewer Lair
ORD-00294,Pepperoni,Michelangelo,1,23.79,2023-09-19,April's Apartment
ORD-00295,Meat Lovers,Raphael,1,15.53,2024-03-05,Central Park
ORD-00296,Supreme,Raphael,5,17.92,2023-12-30,Sewer Lair
ORD-00297,Hawaiian,Raphael,5,18.42,2023-08-22,Rooftop
ORD-00298,Veggie,Michelangelo,4,17.86,2023-09-19,April's Apartment
ORD-00299,Veggie,Leonardo,5,21.75,2023-12-25,Central Park
ORD-00300,Pepperoni,Raphael,1,23.61,2024-06-09,April's Apartment
ORD-00301,Cheese,Donatello,5,24.1,2024-01-29,Rooftop
ORD-00302,Pepperoni,Raphael,4,11.81,2023-09-12,April's Apartment
ORD-00303,Supreme,Leonardo,1,19.42,2024-01-08,Central Park
ORD-00304,Cheese,Michelangelo,2,24.45,2023-08-28,Rooftop
ORD-00305,Cheese,Michelangelo,4,17.65,2024-06-01,Sewer Lair
ORD-00306,Pepperoni,Michelangelo,4,15.4,2023-11-16,Sewer Lair
ORD-00307,Hawaiian,Donatello,3,21.09,2023-11-13,Sewer Lair
ORD-00308,Cheese,Leonardo,5,18.16,2024-03-08,Rooftop
ORD-00309,Supreme,Michelangelo,4,16.93,2024-05-18,Sewer Lair
ORD-00310,Meat Lovers,Raphael,3,13.48,2024-06-03,April's Apartment
ORD-00311,Hawaiian,Michelangelo,1,23.56,2023-08-03,April's Apartment
ORD-00312,Cheese,Michelangelo,2,16.28,2023-09-11,Sewer Lair
ORD-00313,Cheese,Leonardo,5,21.11,2024-05-13,Sewer Lair
ORD-00314,Hawaiian,Donatello,1,21.59,2024-03-27,Rooftop
ORD-00315,Supreme,Michelangelo,4,18.72,2023-09-16,April's Apartment
ORD-00316,Hawaiian,Donatello,4,24.47,2024-03-18,April's Apartment
ORD-00317,Veggie,Donatello,4,16.67,2024-03-26,April's Apartment
ORD-00318,Veggie,Leonardo,4,22.57,2024-01-30,Central Park
ORD-00319,Meat Lovers,Donatello,5,22.33,2023-09-17,April's Apartment
ORD-00320,Supreme,Leonardo,5,24.26,2023-12-10,Sewer Lair
ORD-00321,Meat Lovers,Donatello,5,15.69,2024-01-05,Central Park
ORD-00322,Veggie,Michelangelo,1,17.89,2023-12-19,Central Park
ORD-00323,Cheese,Raphael,3,23.72,2024-07-20,April's Apartment
ORD-00324,Hawaiian,Donatello,5,16.03,2023-12-22,Sewer Lair
ORD-00325,Veggie,Leonardo,2,15.37,2024-02-16,Sewer Lair
ORD-00326,Hawaiian,Leonardo,2,14.79,2024-04-22,April's Apartment
ORD-00327,Meat Lovers,Michelangelo,1,14.92,2024-03-01,Central Park
ORD-00328,Cheese,Leonardo,4,24.8,2023-10-03,Central Park
ORD-00329,Hawaiian,Michelangelo,1,10.01,2024-05-18,Sewer Lair
ORD-00330,Pepperoni,Raphael,2,15.78,2024-01-24,Sewer Lair
ORD-00331,Meat Lovers,Michelangelo,1,22.7,2023-08-21,Central Park
ORD-00332,Meat Lovers,Leonardo,2,17.76,2024-02-01,Central Park
ORD-00333,Hawaiian,Donatello,2,11.06,2023-12-26,Central Park
ORD-00334,Pepperoni,Leonardo,4,22.21,2024-02-17,April's Apartment
ORD-00335,Meat Lovers,Raphael,4,23.58,2024-03-26,April's Apartment
ORD-00336,Pepperoni,Donatello,1,24.08,2023-09-10,April's Apartment
ORD-00337,Supreme,Donatello,1,20.13,2023-08-12,April's Apartment
ORD-00338,Pepperoni,Donatello,3,16.13,2023-11-16,Central Park
ORD-00339,Veggie,Raphael,3,17.64,2024-05-05,April's Apartment
ORD-00340,Veggie,Michelangelo,2,19.91,2024-06-26,April's Apartment
ORD-00341,Meat Lovers,Michelangelo,5,13.04,2024-05-14,April's Apartment
ORD-00342,Supreme,Donatello,4,24.8,2023-10-12,Rooftop
ORD-00343,Hawaiian,Raphael,1,22.1,2023-08-13,Rooftop
ORD-00344,Cheese,Leonardo,2,17.99,2023-10-06,Central Park
ORD-00345,Cheese,Donatello,2,11.06,2023-10-29,Sewer Lair
ORD-00346,Supreme,Michelangelo,1,20.84,2024-06-01,Central Park
ORD-00347,Supreme,Donatello,5,22.45,2023-08-23,Rooftop
ORD-00348,Meat Lovers,Donatello,1,19.48,2023-11-05,Central Park
ORD-00349,Veggie,Leonardo,3,16.2,2023-12-25,Sewer Lair
ORD-00350,Meat Lovers,Donatello,2,12.12,2023-08-31,Rooftop
ORD-00351,Meat Lovers,Raphael,4,16.58,2024-03-19,April's Apartment
ORD-00352,Cheese,Raphael,1,15.64,2024-02-26,April's Apartment
ORD-00353,Supreme,Michelangelo,2,20.77,2023-08-19,Rooftop
ORD-00354,Cheese,Donatello,3,13.63,2024-02-15,Rooftop
ORD-00355,Meat Lovers,Leonardo,1,19.8,2023-09-14,Rooftop
ORD-00356,Hawaiian,Raphael,5,11.99,2024-06-08,Sewer Lair
ORD-00357,Cheese,Michelangelo,5,19.74,2024-07-03,Sewer Lair
ORD-00358,Veggie,Donatello,3,20.85,2023-09-18,Sewer Lair
ORD-00359,Supreme,Michelangelo,2,22.88,2023-09-20,Rooftop
ORD-00360,Hawaiian,Michelangelo,3,17.22,2024-03-12,Central Park
ORD-00361,Meat Lovers,Donatello,4,19.42,2024-03-09,Rooftop
ORD-00362,Veggie,Michelangelo,4,16.28,2023-08-14,Sewer Lair
