Order ID: ORD-00001, Turtle: Michelangelo, Pizza Type: Cheese, Quantity: 2, Price: $23.54, Order Date: 2024-01-02, Delivery Location: Rooftop
Order ID: ORD-00039, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 3, Price: $17.61, Order Date: 2024-05-25, Delivery Location: Rooftop
Order ID: ORD-00040, Turtle: Raphael, Pizza Type: Hawaiian, Quantity: 1, Price: $11.73, Order Date: 2024-05-08, Delivery Location: Rooftop
Order ID: ORD-00041, Turtle: Donatello, Pizza Type: Supreme, Quantity: 5, Price: $24.31, Order Date: 2024-07-27, Delivery Location: Central Park
Order ID: ORD-00042, Turtle: Donatello, Pizza Type: Hawaiian, Quantity: 2, Price: $11.79, Order Date: 2023-08-18, Delivery Location: Central Park
Order ID: ORD-00043, Turtle: Raphael, Pizza Type: Pepperoni, Quantity: 3, Price: $15.63, Order Date: 2023-10-04, Delivery Location: Central Park
Order ID: ORD-00044, Turtle: Leonardo, Pizza Type: Hawaiian, Quantity: 1, Price: $10.79, Order Date: 2023-11-04, Delivery Location: Rooftop
Order ID: ORD-00045, Turtle: Raphael, Pizza Type: Supreme, Quantity: 1, Price: $22.38, Order Date: 2024-01-08, Delivery Location: Sewer Lair
Order ID: ORD-00046, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 5, Price: $23.09, Order Date: 2024-06-23, Delivery Location: April's Apartment
Order ID: ORD-00047, Turtle: Leonardo, Pizza Type: Hawaiian, Quantity: 2, Price: $15.67, Order Date: 2023-08-05, Delivery Location: April's Apartment
Order ID: ORD-00048, Turtle: Leonardo, Pizza Type: Supreme, Quantity: 2, Price: $21.05, Order Date: 2024-02-04, Delivery Location: Rooftop
Order ID: ORD-00049, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 4, Price: $12.44, Order Date: 2023-11-10, Delivery Location: Sewer Lair
Order ID: ORD-00050, Turtle: Leonardo, Pizza Type: Veggie, Quantity: 4, Price: $13.30, Order Date: 2024-02-10, Delivery Location: April's Apartment
Order ID: ORD-00051, Turtle: Michelangelo, Pizza Type: Pepperoni, Quantity: 3, Price: $15.03, Order Date: 2024-01-01, Delivery Location: Rooftop
Order ID: ORD-00052, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 4, Price: $19.59, Order Date: 2024-07-15, Delivery Location: April's Apartment
Order ID: ORD-00053, Turtle: Raphael, Pizza Type: Meat Lovers, Quantity: 2, Price: $20.01, Order Date: 2024-07-27, Delivery Location: Central Park
Order ID: ORD-00054, Turtle: Raphael, Pizza Type: Meat Lovers, Quantity: 3, Price: $12.14, Order Date: 2023-12-04, Delivery Location: Rooftop
Order ID: ORD-00055, Turtle: Donatello, Pizza Type: Supreme, Quantity: 2, Price: $24.59, Order Date: 2023-09-10, Delivery Location: Rooftop
Order ID: ORD-00056, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 1, Price: $15.84, Order Date: 2024-06-11, Delivery Location: Rooftop
Order ID: ORD-00057, Turtle: Donatello, Pizza Type: Meat Lovers, Quantity: 5, Price: $19.45, Order Date: 2023-09-27, Delivery Location: Rooftop
Order ID: ORD-00058, Turtle: Michelangelo, Pizza Type: Cheese, Quantity: 4, Price: $14.49, Order Date: 2024-02-21, Delivery Location: Central Park
Order ID: ORD-00059, Turtle: Donatello, Pizza Type: Veggie, Quantity: 2, Price: $22.78, Order Date: 2024-05-04, Delivery Location: Sewer Lair
Order ID: ORD-00060, Turtle: Michelangelo, Pizza Type: Cheese, Quantity: 5, Price: $15.13, Order Date: 2024-05-30, Delivery Location: Central Park
Order ID: ORD-00061, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 1, Price: $17.02, Order Date: 2024-02-22, Delivery Location: April's Apartment
Order ID: ORD-00062, Turtle: Donatello, Pizza Type: Meat Lovers, Quantity: 4, Price: $24.47, Order Date: 2023-11-02, Delivery Location: Rooftop
Order ID: ORD-00063, Turtle: Leonardo, Pizza Type: Veggie, Quantity: 2, Price: $19.66, Order Date: 2024-06-24, Delivery Location: April's Apartment
Order ID: ORD-00064, Turtle: Michelangelo, Pizza Type: Supreme, Quantity: 3, Price: $13.56, Order Date: 2023-08-02, Delivery Location: April's Apartment
Order ID: ORD-00065, Turtle: Raphael, Pizza Type: Veggie, Quantity: 4, Price: $22.77, Order Date: 2024-07-11, Delivery Location: April's Apartment
Order ID: ORD-00066, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 2, Price: $12.12, Order Date: 2024-03-22, Delivery Location: Central Park
Order ID: ORD-00067, Turtle: Donatello, Pizza Type: Supreme, Quantity: 4, Price: $11.72, Order Date: 2024-04-09, Delivery Location: Rooftop
Order ID: ORD-00068, Turtle: Michelangelo, Pizza Type: Supreme, Quantity: 3, Price: $23.28, Order Date: 2023-10-03, Delivery Location: Rooftop
Order ID: ORD-00069, Turtle: Donatello, Pizza Type: Veggie, Quantity: 2, Price: $18.53, Order Date: 2024-02-09, Delivery Location: Rooftop
Order ID: ORD-00070, Turtle: Leonardo, Pizza Type: Hawaiian, Quantity: 4, Price: $14.09, Order Date: 2024-06-25, Delivery Location: Sewer Lair
Order ID: ORD-00071, Turtle: Michelangelo, Pizza Type: Cheese, Quantity: 2, Price: $20.67, Order Date: 2023-10-26, Delivery Location: Sewer Lair
Order ID: ORD-00072, Turtle: Leonardo, Pizza Type: Meat Lovers, Quantity: 3, Price: $20.60, Order Date: 2024-04-24, Delivery Location: Sewer Lair
Order ID: ORD-00073, Turtle: Michelangelo, Pizza Type: Pepperoni, Quantity: 4, Price: $13.91, Order Date: 2024-07-17, Delivery Location: Sewer Lair
Order ID: ORD-00074, Turtle: Leonardo, Pizza Type: Supreme, Quantity: 5, Price: $22.80, Order Date: 2024-04-27, Delivery Location: April's Apartment
Order ID: ORD-00075, Turtle: Leonardo, Pizza Type: Meat Lovers, Quantity: 2, Price: $20.56, Order Date: 2023-10-15, Delivery Location: Rooftop
Order ID: ORD-00076, Turtle: Raphael, Pizza Type: Veggie, Quantity: 2, Price: $21.14, Order Date: 2023-11-11, Delivery Location: Central Park
Order ID: ORD-00077, Turtle: Raphael, Pizza Type: Pepperoni, Quantity: 5, Price: $22.31, Order Date: 2023-08-30, Delivery Location: April's Apartment
Order ID: ORD-00078, Turtle: Donatello, Pizza Type: Cheese, Quantity: 5, Price: $12.11, Order Date: 2024-02-09, Delivery Location: Central Park
Order ID: ORD-00079, Turtle: Raphael, Pizza Type: Veggie, Quantity: 1, Price: $21.77, Order Date: 2024-06-11, Delivery Location: Sewer Lair
Order ID: ORD-00080, Turtle: Leonardo, Pizza Type: Pepperoni, Quantity: 2, Price: $14.96, Order Date: 2023-12-08, Delivery Location: Central Park
Order ID: ORD-00081, Turtle: Leonardo, Pizza Type: Hawaiian, Quantity: 2, Price: $21.04, Order Date: 2024-06-29, Delivery Location: Rooftop
Order ID: ORD-00082, Turtle: Raphael, Pizza Type: Supreme, Quantity: 2, Price: $23.12, Order Date: 2024-01-08, Delivery Location: April's Apartment
Order ID: ORD-00083, Turtle: Leonardo, Pizza Type: Pepperoni, Quantity: 4, Price: $14.50, Order Date: 2023-08-13, Delivery Location: April's Apartment
Order ID: ORD-00084, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 1, Price: $11.70, Order Date: 2023-09-07, Delivery Location: Sewer Lair
Order ID: ORD-00085, Turtle: Donatello, Pizza Type: Supreme, Quantity: 2, Price: $17.86, Order Date: 2023-10-22, Delivery Location: Sewer Lair
Order ID: ORD-00086, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 2, Price: $13.71, Order Date: 2024-03-20, Delivery Location: April's Apartment
Order ID: ORD-00087, Turtle: Leonardo, Pizza Type: Hawaiian, Quantity: 4, Price: $17.02, Order Date: 2024-01-20, Delivery Location: Central Park
Order ID: ORD-00088, Turtle: Michelangelo, Pizza Type: Cheese, Quantity: 4, Price: $13.60, Order Date: 2024-05-01, Delivery Location: Rooftop
Order ID: ORD-00089, Turtle: Michelangelo, Pizza Type: Pepperoni, Quantity: 2, Price: $24.43, Order Date: 2024-01-30, Delivery Location: April's Apartment
Order ID: ORD-00090, Turtle: Donatello, Pizza Type: Meat Lovers, Quantity: 3, Price: $23.24, Order Date: 2023-10-08, Delivery Location: Central Park
Order ID: ORD-00091, Turtle: Raphael, Pizza Type: Meat Lovers, Quantity: 5, Price: $18.46, Order Date: 2024-03-13, Delivery Location: April's Apartment
Order ID: ORD-00092, Turtle: Michelangelo, Pizza Type: Veggie, Quantity: 3, Price: $12.09, Order Date: 2024-05-22, Delivery Location: Central Park
Order ID: ORD-00093, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 5, Price: $15.39, Order Date: 2024-07-12, Delivery Location: Rooftop
Order ID: ORD-00094, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 1, Price: $22.57, Order Date: 2024-01-22, Delivery Location: Central Park
Order ID: ORD-00095, Turtle: Donatello, Pizza Type: Supreme, Quantity: 5, Price: $14.40, Order Date: 2024-07-01, Delivery Location: Sewer Lair
Order ID: ORD-00096, Turtle: Michelangelo, Pizza Type: Veggie, Quantity: 4, Price: $18.86, Order Date: 2023-10-11, Delivery Location: Rooftop
Order ID: ORD-00097, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 2, Price: $17.94, Order Date: 2024-01-14, Delivery Location: Rooftop
Order ID: ORD-00098, Turtle: Michelangelo, Pizza Type: Meat Lovers, Quantity: 1, Price: $24.00, Order Date: 2024-03-16, Delivery Location: Sewer Lair
Order ID: ORD-00099, Turtle: Leonardo, Pizza Type: Meat Lovers, Quantity: 1, Price: $22.15, Order Date: 2024-06-18, Delivery Location: Central Park
Order ID: ORD-00100, Turtle: Donatello, Pizza Type: Cheese, Quantity: 4, Price: $13.77, Order Date: 2024-04-14, Delivery Location: April's Apartment
Order ID: ORD-00101, Turtle: Leonardo, Pizza Type: Meat Lovers, Quantity: 3, Price: $23.06, Order Date: 2024-03-08, Delivery Location: Rooftop
Order ID: ORD-00102, Turtle: Raphael, Pizza Type: Supreme, Quantity: 5, Price: $24.37, Order Date: 2023-11-29, Delivery Location: April's Apartment
Order ID: ORD-00103, Turtle: Raphael, Pizza Type: Cheese, Quantity: 2, Price: $24.14, Order Date: 2024-05-27, Delivery Location: Rooftop
Order ID: ORD-00104, Turtle: Michelangelo, Pizza Type: Supreme, Quantity: 3, Price: $12.24, Order Date: 2024-04-05, Delivery Location: Sewer Lair
Order ID: ORD-00105, Turtle: Michelangelo, Pizza Type: Meat Lovers, Quantity: 5, Price: $22.42, Order Date: 2023-12-16, Delivery Location: Rooftop
Order ID: ORD-00106, Turtle: Michelangelo, Pizza Type: Supreme, Quantity: 4, Price: $24.27, Order Date: 2023-12-10, Delivery Location: Rooftop
Order ID: ORD-00107, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 2, Price: $20.39, Order Date: 2024-05-21, Delivery Location: Rooftop
Order ID: ORD-00108, Turtle: Leonardo, Pizza Type: Hawaiian, Quantity: 3, Price: $23.00, Order Date: 2024-04-05, Delivery Location: April's Apartment
Order ID: ORD-00109, Turtle: Raphael, Pizza Type: Pepperoni, Quantity: 4, Price: $21.54, Order Date: 2023-11-09, Delivery Location: Sewer Lair
Order ID: ORD-00110, Turtle: Michelangelo, Pizza Type: Meat Lovers, Quantity: 4, Price: $10.12, Order Date: 2024-05-14, Delivery Location: Sewer Lair
Order ID: ORD-00111, Turtle: Leonardo, Pizza Type: Veggie, Quantity: 3, Price: $22.32, Order Date: 2023-12-13, Delivery Location: Rooftop
Order ID: ORD-00112, Turtle: Raphael, Pizza Type: Veggie, Quantity: 2, Price: $20.29, Order Date: 2023-12-25, Delivery Location: Rooftop
Order ID: ORD-00113, Turtle: Donatello, Pizza Type: Supreme, Quantity: 1, Price: $18.21, Order Date: 2023-08-08, Delivery Location: Sewer Lair
Order ID: ORD-00114, Turtle: Leonardo, Pizza Type: Veggie, Quantity: 4, Price: $20.55, Order Date: 2024-02-10, Delivery Location: April's Apartment
Order ID: ORD-00115, Turtle: Raphael, Pizza Type: Meat Lovers, Quantity: 1, Price: $11.78, Order Date: 2024-07-04, Delivery Location: April's Apartment
Order ID: ORD-00116, Turtle: Raphael, Pizza Type: Hawaiian, Quantity: 1, Price: $22.05, Order Date: 2024-05-31, Delivery Location: April's Apartment
Order ID: ORD-00117, Turtle: Leonardo, Pizza Type: Veggie, Quantity: 4, Price: $17.13, Order Date: 2023-11-15, Delivery Location: Sewer Lair
Order ID: ORD-00118, Turtle: Michelangelo, Pizza Type: Meat Lovers, Quantity: 1, Price: $19.05, Order Date: 2024-04-27, Delivery Location: Rooftop
Order ID: ORD-00119, Turtle: Raphael, Pizza Type: Veggie, Quantity: 4, Price: $10.99, Order Date: 2024-03-10, Delivery Location: April's Apartment
Order ID: ORD-00120, Turtle: Michelangelo, Pizza Type: Supreme, Quantity: 2, Price: $14.54, Order Date: 2024-04-06, Delivery Location: Central Park
Order ID: ORD-00121, Turtle: Michelangelo, Pizza Type: Veggie, Quantity: 2, Price: $18.53, Order Date: 2023-11-11, Delivery Location: Rooftop
Order ID: ORD-00122, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 4, Price: $21.85, Order Date: 2023-12-22, Delivery Location: Sewer Lair
Order ID: ORD-00123, Turtle: Donatello, Pizza Type: Supreme, Quantity: 3, Price: $24.57, Order Date: 2024-03-01, Delivery Location: Central Park
Order ID: ORD-00124, Turtle: Leonardo, Pizza Type: Veggie, Quantity: 1, Price: $17.74, Order Date: 2024-02-11, Delivery Location: Rooftop
Order ID: ORD-00125, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 1, Price: $22.98, Order Date: 2024-04-10, Delivery Location: Central Park
Order ID: ORD-00126, Turtle: Michelangelo, Pizza Type: Veggie, Quantity: 3, Price: $16.07, Order Date: 2023-08-16, Delivery Location: Sewer Lair
Order ID: ORD-00127, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 3, Price: $21.78, Order Date: 2023-12-20, Delivery Location: Central Park
Order ID: ORD-00128, Turtle: Raphael, Pizza Type: Veggie, Quantity: 1, Price: $11.89, Order Date: 2024-05-22, Delivery Location: April's Apartment
Order ID: ORD-00129, Turtle: Michelangelo, Pizza Type: Veggie, Quantity: 5, Price: $12.75, Order Date: 2024-02-27, Delivery Location: Sewer Lair
Order ID: ORD-00130, Turtle: Donatello, Pizza Type: Hawaiian, Quantity: 3, Price: $11.29, Order Date: 2024-05-21, Delivery Location: April's Apartment
Order ID: ORD-00131, Turtle: Leonardo, Pizza Type: Veggie, Quantity: 4, Price: $21.97, Order Date: 2024-05-22, Delivery Location: Sewer Lair
Order ID: ORD-00132, Turtle: Donatello, Pizza Type: Veggie, Quantity: 5, Price: $22.28, Order Date: 2023-09-02, Delivery Location: Central Park
Order ID: ORD-00133, Turtle: Michelangelo, Pizza Type: Pepperoni, Quantity: 4, Price: $15.21, Order Date: 2024-07-02, Delivery Location: Sewer Lair
Order ID: ORD-00134, Turtle: Raphael, Pizza Type: Hawaiian, Quantity: 5, Price: $21.96, Order Date: 2024-01-05, Delivery Location: April's Apartment
Order ID: ORD-00135, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 5, Price: $11.60, Order Date: 2024-05-03, Delivery Location: Rooftop
Order ID: ORD-00136, Turtle: Leonardo, Pizza Type: Supreme, Quantity: 3, Price: $19.54, Order Date: 2024-04-24, Delivery Location: Rooftop
Order ID: ORD-00137, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 5, Price: $13.70, Order Date: 2023-12-28, Delivery Location: Sewer Lair
Order ID: ORD-00138, Turtle: Donatello, Pizza Type: Cheese, Quantity: 3, Price: $18.30, Order Date: 2023-11-24, Delivery Location: April's Apartment
Order ID: ORD-00139, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 5, Price: $10.10, Order Date: 2024-06-29, Delivery Location: Sewer Lair
Order ID: ORD-00140, Turtle: Raphael, Pizza Type: Cheese, Quantity: 4, Price: $15.60, Order Date: 2023-11-12, Delivery Location: Central Park
Order ID: ORD-00141, Turtle: Leonardo, Pizza Type: Meat Lovers, Quantity: 2, Price: $14.20, Order Date: 2024-05-11, Delivery Location: Central Park
Order ID: ORD-00142, Turtle: Michelangelo, Pizza Type: Pepperoni, Quantity: 2, Price: $17.77, Order Date: 2023-10-21, Delivery Location: Central Park
Order ID: ORD-00143, Turtle: Michelangelo, Pizza Type: Veggie, Quantity: 4, Price: $24.44, Order Date: 2023-10-07, Delivery Location: Rooftop
Order ID: ORD-00144, Turtle: Raphael, Pizza Type: Hawaiian, Quantity: 2, Price: $23.29, Order Date: 2023-10-12, Delivery Location: April's Apartment
Order ID: ORD-00145, Turtle: Michelangelo, Pizza Type: Cheese, Quantity: 3, Price: $21.54, Order Date: 2023-08-27, Delivery Location: April's Apartment
Order ID: ORD-00146, Turtle: Michelangelo, Pizza Type: Cheese, Quantity: 1, Price: $23.80, Order Date: 2023-08-11, Delivery Location: Rooftop
Order ID: ORD-00147, Turtle: Leonardo, Pizza Type: Veggie, Quantity: 5, Price: $18.92, Order Date: 2024-03-02, Delivery Location: Rooftop
Order ID: ORD-00148, Turtle: Leonardo, Pizza Type: Meat Lovers, Quantity: 2, Price: $12.23, Order Date: 2024-06-12, Delivery Location: Rooftop
Order ID: ORD-00149, Turtle: Raphael, Pizza Type: Veggie, Quantity: 2, Price: $15.73, Order Date: 2023-09-27, Delivery Location: Rooftop
Order ID: ORD-00150, Turtle: Raphael, Pizza Type: Veggie, Quantity: 3, Price: $14.63, Order Date: 2024-03-05, Delivery Location: Sewer Lair
Order ID: ORD-00151, Turtle: Raphael, Pizza Type: Hawaiian, Quantity: 5, Price: $23.96, Order Date: 2024-06-27, Delivery Location: April's Apartment
Order ID: ORD-00152, Turtle: Raphael, Pizza Type: Pepperoni, Quantity: 2, Price: $14.42, Order Date: 2024-05-21, Delivery Location: Sewer Lair
Order ID: ORD-00153, Turtle: Donatello, Pizza Type: Meat Lovers, Quantity: 1, Price: $24.20, Order Date: 2024-07-06, Delivery Location: Central Park
Order ID: ORD-00154, Turtle: Donatello, Pizza Type: Cheese, Quantity: 5, Price: $20.98, Order Date: 2024-06-18, Delivery Location: April's Apartment
Order ID: ORD-00155, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 5, Price: $21.45, Order Date: 2024-05-22, Delivery Location: April's Apartment
Order ID: ORD-00156, Turtle: Raphael, Pizza Type: Meat Lovers, Quantity: 1, Price: $19.92, Order Date: 2024-02-26, Delivery Location: Rooftop
Order ID: ORD-00157, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 4, Price: $22.34, Order Date: 2024-07-28, Delivery Location: Rooftop
Order ID: ORD-00158, Turtle: Michelangelo, Pizza Type: Hawaiian, Quantity: 1, Price: $21.40, Order Date: 2024-05-29, Delivery Location: April's Apartment
Order ID: ORD-00159, Turtle: Donatello, Pizza Type: Meat Lovers, Quantity: 5, Price: $15.48, Order Date: 2023-12-24, Delivery Location: Sewer Lair
Order ID: ORD-00160, Turtle: Leonardo, Pizza Type: Meat Lovers, Quantity: 1, Price: $17.39, Order Date: 2024-07-11, Delivery Location: Sewer Lair
Order ID: ORD-00161, Turtle: Donatello, Pizza Type: Veggie, Quantity: 3, Price: $19.43, Order Date: 2024-06-17, Delivery Location: Sewer Lair
Order ID: ORD-00162, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 5, Price: $23.03, Order Date: 2024-05-30, Delivery Location: April's Apartment
Order ID: ORD-00163, Turtle: Michelangelo, Pizza Type: Cheese, Quantity: 3, Price: $20.52, Order Date: 2023-08-07, Delivery Location: Sewer Lair
Order ID: ORD-00164, Turtle: Michelangelo, Pizza Type: Supreme, Quantity: 3, Price: $22.04, Order Date: 2024-01-05, Delivery Location: Sewer Lair
Order ID: ORD-00165, Turtle: Michelangelo, Pizza Type: Hawaiian, Quantity: 5, Price: $16.40, Order Date: 2024-04-21, Delivery Location: Central Park
Order ID: ORD-00166, Turtle: Leonardo, Pizza Type: Pepperoni, Quantity: 1, Price: $22.60, Order Date: 2023-08-14, Delivery Location: April's Apartment
Order ID: ORD-00167, Turtle: Leonardo, Pizza Type: Supreme, Quantity: 5, Price: $17.21, Order Date: 2023-11-02, Delivery Location: Sewer Lair
Order ID: ORD-00168, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 5, Price: $15.32, Order Date: 2024-02-12, Delivery Location: Central Park
Order ID: ORD-00169, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 5, Price: $20.71, Order Date: 2024-05-27, Delivery Location: April's Apartment
Order ID: ORD-00170, Turtle: Raphael, Pizza Type: Meat Lovers, Quantity: 4, Price: $20.76, Order Date: 2024-07-21, Delivery Location: Sewer Lair
Order ID: ORD-00171, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 5, Price: $10.19, Order Date: 2023-08-25, Delivery Location: Central Park
Order ID: ORD-00172, Turtle: Michelangelo, Pizza Type: Pepperoni, Quantity: 2, Price: $19.71, Order Date: 2024-04-25, Delivery Location: Rooftop
Order ID: ORD-00173, Turtle: Donatello, Pizza Type: Supreme, Quantity: 4, Price: $17.68, Order Date: 2023-10-21, Delivery Location: Sewer Lair
Order ID: ORD-00174, Turtle: Leonardo, Pizza Type: Supreme, Quantity: 4, Price: $19.01, Order Date: 2024-04-26, Delivery Location: Central Park
Order ID: ORD-00175, Turtle: Michelangelo, Pizza Type: Veggie, Quantity: 1, Price: $21.19, Order Date: 2024-03-13, Delivery Location: Central Park
Order ID: ORD-00176, Turtle: Michelangelo, Pizza Type: Veggie, Quantity: 4, Price: $20.11, Order Date: 2023-10-03, Delivery Location: Rooftop
Order ID: ORD-00177, Turtle: Michelangelo, Pizza Type: Hawaiian, Quantity: 1, Price: $12.59, Order Date: 2023-08-02, Delivery Location: April's Apartment
